country,code,indicator,ind_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Euro area,EMU,Aquaculture production (metric tons),ER.FSH.AQUA.MT,220684,233396,280611,286731,305153,317854,296396,293454,339359,354561,407410,391880,474329,472817,495698,544898,520364,591456,630744,601919,619601,661714,708585,729656,733099,810998,817002,829424,843166,826507,851075,850632,822665,807407,889206,959926,997686,1006002,1119999,1144352,1116236,1084460,980889,1036926,977641,960142,984698.2,1006528.4,923158.1,963260.08,920149.305,904924.564,868568.678,830850.714,882875.655,890380.586,926380.097,
Eritrea,ERI,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,32,42,42,10,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,ESP,Aquaculture production (metric tons),ER.FSH.AQUA.MT,6300,8000,56600,64200,65200,66900,65300,52000,69700,95800,156200,146700,164300,166900,173927,168312,186900,193768,235500,206760,205638,215150,225730,229310,247426,266608,268449,270734,271403,222924,203766,224971,168759,126130,177940,223965,231633,239169,313908,318469,309229,309091,254949,268279,293839,219335,292829.2,281729.4,249714.5,266668.8,252352.2,271962.9,264163,223710,282241.5,289821.2,283830.9,
Estonia,EST,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,1232,936,1337,693,330,417,315,272,260,260,200,225,467,257,372,252,555,703,772,813,653.6,573.04,388.34,581.398,733.214,870.475,798.7,867.733,
Ethiopia,ETH,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,36,36,22,28,33,55,38,24,14,15,15,15,15,15,25,25,25,25,25,25,25,25,38,45.3,85.5,90.5,95,
European Union,EUU,Aquaculture production (metric tons),ER.FSH.AQUA.MT,259974,278080,325124,333678,359075,375455,354908,358746,404920,420857,471282,461278,557814,554862,583483,636435,615816,688115,724843,698253,720215,781828,843583,860856,873745,949815,965126,983248,1023246,1022170,1038988,1042863,1013856,1003767,1109704,1187650,1233251,1257786,1382363,1435350,1405577,1396160,1281713,1352858,1322449,1272439,1299109.2,1317589.4,1246983.1,1309009.368,1264640.552,1245608.609,1217082.338,1188986.994,1255435.955,1264674.486,1292597.217,
Fragile and conflict affected situations,FCS,Aquaculture production (metric tons),ER.FSH.AQUA.MT,80,110,140,180,230,290,350,430,521,686,808,1030,1577,2252,3232,3951,4781,5350,5918,6507,7286,8120,8991,9898,11651,13680,16451,14912,15941,15810,18670,24173,42011,64688,78832,88789,93886,102762,107726,115251,126368,147319,215177,282321,441755.2,532947.8,622159.6,645960.6,721204.34,829720.86,912773.8,880494.2,961548.3,995057.75,1042833.31,1081682.2,1104510.5,
Finland,FIN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,50,190,390,600,800,999,1201,1403,1200,1800,1800,2500,2500,3455,3275,4921,5698,6334,7746,9586,10166,11006,12689,16367,18550,18550,19271,17909,17526,16682,17345,17659,16426,16024,15449,15400,15739,15132,12558,12821,14355,12891,13025,13439,13627,11772,11275,12659,13613,13465,14877,14412.17,
Fiji,FJI,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,757,8660,10896,5089,6045,6353,3493,2498.9,1832.034,184,200,255,365,2408,16860.02,6991,4927,1206,394,561.5,561.5,1618,830,888,670.026,767.5,646,727,637,744,744,754,
France,FRA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,111100,116700,106900,110000,98220,111650,102700,115255,108610,104725,106444,85280,128308,127366,137010,164937,148586,180727,163893,188692,207039,200250,192707,196288,192609,226903,243671,231894,227544,225122,256653,245094,250254,277323,280954,280786,285526,287243,267850,264857,266802,251655,251758,239601,242167,244925,237375,237451,238248.6,234000,203402,194110.7,205548,200596.1,180789.8,163731.6,166640,
Faroe Islands,FRO,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,5,10,25,40,80,51,102,305,100,222,445,360,390,513,1620,2520,4523,5260,8131,13076,18283,19098,18752,15332,8611,17584,22538,20436,42544,34823,49167,56102,62746,46077,23455,18574,30699,46673,59295,47575,60473,76564,75909,86454,80600,83300,
"Micronesia, Fed. Sts.",FSM,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,0,85,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gabon,GAB,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,2,2,3,5,8,28,39,62,57,158,558,558,102,83,80,80,78,126,124,124,126,130,130,48,46,45,45,45,
United Kingdom,GBR,Aquaculture production (metric tons),ER.FSH.AQUA.MT,35,135,35,35,200,300,200,200,200,200,444,516,213,401,556,876,690,585,888,2351,2855,4049,11987,11684,17612,20104,24013,29435,36392,49316,50044,60887,56824,68774,85701,93838,109901,129715,137421,154800,152485,170516,179036,181838,207203,172813,171848,174200,175702,196597.8,201363.8,198967.6,205594.7,203263,214707.4,211749.4,194492.2,
Georgia,GEO,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273,630,607,2660,1045,580,228,157,101,61,96,83,86,80,52,56,72,72,75,180,466,470,470,650,650,650,670,670,670,
Ghana,GHA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,4,10,20,46,94,122,142,168,181,199,219,238,256,273,289,306,329,353,450,357,359,386,427,330,360,410,430,465,500,550,550,400,1800,2900,5000,6000,6000,938,950,1154,2270,3820,5594,7154,10200,19092,27450,32513,38545,44610,52480,
Gibraltar,GIB,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,1,1,1,1,5,5,5,4,4,0,0,0,0,0,2,2,2,100,110,110,170,177,185,200,250,250,250,250,250,
"Gambia, The",GMB,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,53,60,0,0,0,0,0,4,4,4,4,5,5,5,5,5,5,75,25,25,25,25,33,33,33,35,35,35,
Guinea-Bissau,GNB,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,15,17,15,15,15,15,15,
Greece,GRC,Aquaculture production (metric tons),ER.FSH.AQUA.MT,330,290,390,450,530,620,630,800,860,950,1040,975,1080,1230,1400,1520,1612,1704,1826,1872,1963,2065,2110,2260,2542,2377,2296,2741,4087,4737,9523,12615,20306,32578,33182,32644,39852,48838,59926,84274,95418,97512,87928,101434,97143,106208,113384,113297,115068,122011,121244,110809.1,110973.5,113999.9,104663,107161.8,123409.7,
Grenada,GRD,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,,,,,,,,,,,,,,,,
Greenland,GRL,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,8,9,12,61,459,528,651,920,713,904,831,1235,3286,4393,3675,3421,4407,3124,4850,3963,5100,7978,6346,4908,9008,16293,16400,18727,16623,22792.23,21468,17743,17047,20761.5,22049,26268,
Guam,GUM,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,4,11,45,37,47,85,142,180,198,210,212,176,187,211,215,216,220,220,220,230,232,232,233,160,160,160,162,162,162,140.5,129,111,111,110,110,110,110,
Guyana,GUY,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,27,65,70,43,35,50,65,85,140,210,230,250,270,300,606,605,608,608,608,608,608,660,660,292,510.96,487.6,263.1,261.178,220.65,367.496,417.64,336.7,
High income,HIC,Aquaculture production (metric tons),ER.FSH.AQUA.MT,748544,809876,905327,1015039,1017115,1054634,1067196,1150915,1278492,1206414,1438216,1521338,1683573,1957217,2151918,2176831,2270974,2435917,2450633,2482559,2692672,2971636,2964724,3195315,3358219,3545978.206,3916129.104,3880700,4169068,4094487,4168153,4242610,4424089,4573847.172,4861503.96,4965604.699,5008804.38,5332112.188,5208995.001,5358859.822,5310182.667,5665869.624,5870713.841,6003526.058,6192592.703,6197704.328,6598808.801,6910579.592,6811534.39,6945161.374,6790359.14,6961707.053,7459968.987,7289877.755,7641437.882,7741972.024,7863565.196,
"Hong Kong SAR, China",HKG,Aquaculture production (metric tons),ER.FSH.AQUA.MT,600,665,690,700,1390,1279,1138,1169,1852,2140,3113,3287,3619,4010,4287,5239,6086,5101,6816,7383,7887,7913,9287,8540,8356,7901,9121,10436,10778,9529,10256,10624,9333,9299,8966,8571,8418,8310,6439,6052,4988,5627,4302,4857,4615,4130,4125,4514,4754,4819,4338,3438,4093,3764,3897,3894,4258,
Honduras,HND,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,2,9,14,23,36,55,86,127,190,268,581,465,985,2049,2845,3318,3401,4175,5707,8341,8990,7241,10295,9472,8080,8789,10053,13386,16957,23547,27036,49249,55356,54689,47080,28858,27509,50295,52436,53100,61750,55100,53100,
Heavily indebted poor countries (HIPC),HPC,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,4,10,20,106,254,282,402,428,343,345,510,638,714,788,989,1138,1400,1802,2922,2860,4317,5913,7002,9072,9959,11427,17036,20942,23055,24516,29246,32540,30434,35014,41677,50063,63874,69893,70476,101612.15,138714.2,160056.2,160519.25,170149.36,195366.3,218807.245,252702.758,277170.2,314488.756,332788.25,358338.52,
Croatia,HRV,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6802,4603,4941,4007,2889,3510,5989,6313,6876,10468,9095,9505,10917,12127,15497,14045,13878,14228.55,13990.51,12846,10440.36,12018.9,13149.23,15571.5,15804.76,
Haiti,HTI,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,32,32,32,162,162,225,360,600,720,800,1010,1220,1220,
Hungary,HUN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,10000,12500,13750,15150,16100,17280,18590,19230,19800,20300,19500,19000,22600,21626,21791,21950,21923,21889,21787,21619,22570,26330,26180,27790,16473,18315,16997,17948,17970,20548,17600,14434,14230,9492,9899,9360,8080,9334,10222,11947,12886,13056,11574,11870,12744,13661,14686,15864,15687,14825,14245,15584,15133,14918,15326,17337,16247.97,
IBRD only,IBD,Aquaculture production (metric tons),ER.FSH.AQUA.MT,1161343,1006009,981678,1099210,1245782,1401383,1563905,1589535,1624594,1823338,1848322,2147141,2302288,2222360,2435855,2639089,2705323,3375671,3624637,3650083,4019443,4121388,4425857,4968403,5715211,6603416,7386087,8453388,10036847,10941486,11535912,12855511,15407229.9,18532534.03,21862622,25187478,27744336,28056646,30285886,33186555.02,35436137,37678222.4,40303081.76,42852221.1,46822838.4,50035328,53333866.35,56217425.5,60014767.93,63923645.02,68376176.79,72863861.87,79405269.29,86382246.63,89962002.87,93801751.37,98254033.96,
IDA & IBRD total,IBT,Aquaculture production (metric tons),ER.FSH.AQUA.MT,1214215,1060541,1037843,1157165,1305600,1464738,1627501,1655180,1690590,1893355,1920807,2223620,2379937,2302850,2517473,2724039,2795240,3467010,3722794,3754234,4129194,4239010,4550805,5101647,5862689,6765184,7570853,8662116,10295799,11233896,11831110,13189127,15770660.9,18932839.03,22298831,25688685,28316149,28764486,31080730,34033047.02,36371669,38752741.4,41556095.76,44265648.1,48478686.6,51798177.92,55306460.39,58298357.19,62297927.17,66418706.75,71298909.89,76058218.88,82960199.24,90202268.51,94032737.56,98052938.05,102728785.9,
IDA total,IDA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,52872,54532,56165,57955,59818,63355,63596,65645,65996,70017,72485,76479,77649,80490,81618,84950,89917,91339,98157,104151,109751,117622,124948,133244,147478,161768,184766,208728,258952,292410,295198,333616,363431,400305,436209,501207,571813,707840,794844,846492,935532,1074519,1253014,1413427,1655848.2,1762849.92,1972594.043,2080931.69,2283159.24,2495061.73,2922733.1,3194357.015,3554929.948,3820021.88,4070734.696,4251186.686,4474751.963,
IDA blend,IDB,Aquaculture production (metric tons),ER.FSH.AQUA.MT,3555,3853,4081,4397,4740,5003,5294,5605,5881,6206,6549,6913,7255,7699,8112,8641,9187,9734,10293,10839,11503,12176,12917,13842,15693,17036,14645,15226,46197,64908,48277,59280,52932,53383,47180,44751,40088,49053,46565,53743,48566,91486,107568,114697,134323,151654.97,221720.243,235317.39,300126.04,315416.36,374965.9,414856.1,456373.8,501177.5,545443,555467.55,548958.54,
Indonesia,IDN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,80639,86172,89263,88224,93148,93898,104339,112101,104175,105690,108706,114121,118952,129830,136244,149633,156744,173780,189266,202202,225296,269959,273541,303941,330764,359626,411552,456727,499597,527897,599824,607507,645368,710414,703522,743092,881098,777547,747007,882989,993727,1076749,1137151,1228559,1468612,2124093,2479247,3137376,3854944,4712847,6277924,7937072,9599765,13300000,14400000,15600000,16600000,
IDA only,IDX,Aquaculture production (metric tons),ER.FSH.AQUA.MT,49317,50679,52084,53558,55078,58352,58302,60040,60115,63811,65936,69566,70394,72791,73506,76309,80730,81605,87864,93312,98248,105446,112031,119402,131785,144732,170121,193502,212755,227502,246921,274336,310499,346922,389029,456456,531725,658787,748279,792749,886966,983033,1145446,1298730,1521525.2,1611194.95,1750873.8,1845614.3,1983033.2,2179645.37,2547767.2,2779500.915,3098556.148,3318844.38,3525291.696,3695719.136,3925793.423,
Isle of Man,IMN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,Aquaculture production (metric tons),ER.FSH.AQUA.MT,44843,49359,54368,59927,66096,72947,80561,89022,98471,109321,121671,136697,153958,173080,192321,213817,238123,264948,294854,328082,365180,406622,452939,504733,572000,633250,686260,788310,893330,1004500,1017136,1225261,1395444,1416702,1519528,1658807,1758739,1864322,1908485,2134814,1942531,2120634,2189445,2316947,2804362,2973126,3182817,3114762,3855763,3798842,3790021,3677584,4213980,4555209,4893002,5263002,5703002,
Not classified,INX,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Aquaculture production (metric tons),ER.FSH.AQUA.MT,2100,900,500,1100,1000,1100,900,1300,2600,3000,3701,4906,5512,3423,3809,4258,5019,4654,4069,3692,5639,5811,6982,7078,15322,11964,12741,18693,18327,20790,26673,27749,27157,30158,28615,27366,34925,36854,42375,43856,51247,60940,62568,62516,58359,60050,53122,57104,44867.5,47511.68,46490.3,44266.32,36102.01,34198.2,31200.2,39650,40244.43,
"Iran, Islamic Rep.",IRN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,60,155,311,887,1510,2675,3800,4935,7040,9263,11197,13356,15368,18369,17776,20930,24820,26400,26000,27147,20226,21806,21882,25899,28636,29977,30279,33237,31800,40550,62550,76817,91714,104330,111761,129468,158549,154726,179552,220034,247262,296514,325325,320174,346118,398129,
Iraq,IRQ,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,,,,,,2,10,100,500,1000,1800,2300,2746,3000,3238,3443,3622,3774,3899,3997,4476,4441,4564,5250,5000,3000,1600,1750,4750,4000,4100,2600,2500,3400,7500,2183,1745,2000,2000,2000,13947,17941,14867,15810,19246,18732,20320,16290,25040,14060,26625,24803,28835,
Iceland,ISL,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,15,23,32,43,59,80,107,137,103,273,643,1209,1677,2829,2873,2524,2917,3222,3485,3687,3663,3868,3897,3623,4371,3585,6214,8868,8256,8241,4823,5098,5165,5050,5308.5,7431.3,7053,8433.5,8382.6,15129,
Israel,ISR,Aquaculture production (metric tons),ER.FSH.AQUA.MT,9271,10054,9985,11282,11812,11673,10526,9637,10827,11180,12815,13626,14095,14283,12416,12441,12446,13353,12969,12283,11391,11263,11260,11024,11514,12954,12289,14027,15135,14593,14638,15102,12211,13604,14984,16180,17553,18264,18556,18777,20098,21318,22256,20776,22303,22409,22117,21434,20017,19177,19895,20817,20342.4,22251.6,20166,19640,18914,
Italy,ITA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,2794,4776,6531,8001,9893,11813,13573,16711,20473,22748,28632,35443,31224,29074,41786,51088,56653,60543,64228,70479,74640,83584,87547,89848,96900,104301,107130,110616,131499,132971,153744,175193,170377,166320,176421,214725,189373,195719,208625,210368,216525,218330,184285,191884,118217,181101,172793,179409,149002.8,162431.5,153493.7,164150.7,137041,140879,148730.3,148762.6,157108.5,
Jamaica,JAM,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,25,20,32,135,148,355,850,1462,2201,2772,3092,3404,3140,3240,3340,3440,3550,3500,3450,3410,4150,4512,4512,6150,2969,4495,5670,8019,5616,5950,5184,3952,1152,651.05,837.9,712,667,620,
Jordan,JOR,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,15,15,30,45,65,70,70,55,60,20,22,60,86,170,181,200,293,515,569,540,515,650,487,561,560,509,540,440,541,575,600,720,885,885,885,
Japan,JPN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,308044,347634,389701,419315,399167,412523,442172,513304,574487,526565,597395,658832,703271,854553,946292,844119,926711,943746,1007675,977359,1085656,1051868,1035020,1153787,1208031,1184219,1291958,1234254,1426063,1370564,1369751,1359270,1397089,1359476,1420526,1389676,1349462,1339910,1290515,1315324,1291735,1311829,1385099,1301794,1261003,1254143,1224189,1284425,1186722,1243358,1151101,907971.6,1073821,1027951,1021849,1105652,1067994,
Kazakhstan,KAZ,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7034,9050,9450,13382,3379,2928,1161,1948,1682,1921,1106,1193,813,309,778,820,188.2,123,256,170,206,303,224,858,738,811,410,730.4,1878,
Kenya,KEN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,380,410,360,380,430,399,370,360,317,293,240,220,170,180,160,150,160,160,180,160,160,160,195,201,207,213,224,210,561,972,1236,1178,1136,1145,1385,1302,579,199,153,300,512,1009,798,1012,1035,1047,1012,4240,4452,4895,12194,22295,21888,23901,24498,19058,15360,
Kyrgyz Republic,KGZ,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,1135,982,974,642,223,163,207,185,168,162,71,58,144,94,12,20,20,20,107,92,133,352,394.5,297,300,577.93,1068.4,1930.7,
Cambodia,KHM,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,4,11,25,53,106,240,464,934,1610,3000,2200,2500,4600,5538,6400,6700,8550,7900,8200,9511,9600,11800,14100,15000,14430,17500,18250,26300,37515,44000,41010,35260,40000,50000,60000,72000,74000,90000,120055,143000,172500,
Kiribati,KIR,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,13,15,1530,349,443,1228,5116,8209,3513,1684,3200,5265,9489,7383,5942,9409,11188,9282,4262,3913,3913,5012,8849,1117,1094.14,1798.16,4756,4293,8291,2261,3582,3602,3652,
St. Kitts and Nevis,KNA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,3,3,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
"Korea, Rep.",KOR,Aquaculture production (metric tons),ER.FSH.AQUA.MT,18637,17404,23901,80479,72557,73350,91626,96450,105769,80605,124058,151885,163955,265546,343865,352495,412663,493461,395177,484844,545133,704890,603311,645426,679342,790769,952388,875568,898649,858573,788565,787977,955477,1056503,1092988,1017254,897041,1040210,796632,777711,667883,668022,794340,839845,952856,1057725,1279163,1399075,1394818,1331719,1377233,1499335,1509226,1533446,1567442,1676485,1859220,
Kuwait,KWT,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,8,10,0,0,0,0,0,90,90,204,220,264,376,195,195,366,375,327,568,348,291.215,272,310,319,309,303,297,262,196.16,
Latin America & Caribbean (excluding high income),LAC,Aquaculture production (metric tons),ER.FSH.AQUA.MT,100,114,120,120,80,80,100,172,240,420,1019,1285,1704,3543,4212,6279,7047,9470,12858,16748,26016,34741,49112,66250,65906,70011,82126,117486,131295,134565,155094,195470,230259,212620,232364,276659,329193,389920,424399,465546,443515,495388,579032,646372,704648,773996,870969.743,889602.29,958611.04,1026994.09,1145590.01,1242557.45,1303573.558,1341264.85,1557864.236,1602332.49,1655317.52,
Lao PDR,LAO,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,16,24,32,48,72,96,128,160,216,272,344,432,536,664,808,984,1184,1408,1680,1984,2328,2500,4000,5000,6000,7000,8000,10000,10500,10760,11000,11200,12880,16000,21143,21216,30362,42066,50000,59716,64900,64900,60000,60000,63250,64300,75000.5,82100,95600,101895,108000,108360,95965,109835,
Lebanon,LBN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,5,10,20,40,25,40,70,120,200,300,300,375,200,100,100,80,80,130,180,200,300,350,300,400,300,400,300,790,795,795,813,813,818,975,1080,1180,1280,1280,1180,1125,1025,1015,
Liberia,LBR,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,35,9,7,8,6,3,2,3,0,0,0,0,0,0,0,0,,,22,14,14,14,13,13,13,13,16,16,20,20,30,30,40,40,40,
Libya,LBY,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,50,70,70,80,10,10,40,40,40,40,40,40,40,40,160,288,388,388,240,110,110,110,10,10,10,10,10,10,
St. Lucia,LCA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,35,40,40,40,21,9,11,11,12,3,2,137,1,29,18,22,6,15,10.243,10.39,7.04,12.36,20.9,21.8,27.9,44.3,36.2,26.1,32.44,
Latin America & Caribbean,LCN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,180,194,211,222,194,205,335,324,434,636,1221,1520,1989,3944,4691,6866,7837,10360,14048,18420,28374,38015,55544,69731,76190,80630,95846,135739,168426,190273,229472,305214,351068,353701,423327,490034,658807,773614,794303,774779,872415,1131961,1201972,1262003,1410240.5,1523714.5,1715008.243,1707745.89,1840553.73,1917233.39,1868011.36,2222808.97,2389701.86,2399425,2799851.886,2673182.918,2718069.258,
Least developed countries: UN classification,LDC,Aquaculture production (metric tons),ER.FSH.AQUA.MT,49317,50679,52084,53558,55078,58352,58298,60030,60094,63761,65834,69434,70237,72603,73303,76071,80427,81224,87409,92754,97364,104197,110390,117375,128644,140901,165889,188737,201820,216512,235622,261527,296279,329979,372480,439391,510365,638873,724965,769021,857663,950082,1108745,1258370,1475521.2,1540822.95,1671727.8,1765647.8,1904922.59,2115261.11,2482976.1,2683820.015,2985127.57,3199789.161,3388146.188,3565424.151,3789962.023,
Low income,LIC,Aquaculture production (metric tons),ER.FSH.AQUA.MT,5236,6287,7556,9229,11410,14143,17844,24699,40237,55934,71979,88421,105737,124063,143741,166321,193938,224904,259597,299881,349863,407563,474874,553940,700147,752455,863693,1089267,1103369,1216063,919166,970566,1123801,1152290,838985,762432,807947,519326,510701,513563,505383,550169,559957,565808,565322,574211.15,605938.2,625312.2,628726.25,648655.5,673797.9,671481.145,685993.38,695557.55,766528.86,787271.11,801111.82,
Liechtenstein,LIE,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,5,10,20,20,20,20,20,24,27,31,47,56,70,40,280,430,530,699,730,1030,1530,2030,2530,3130,3359,3632,3680,6570,3900,4420,3610,2651,3462,4003,4304,5652,8233,7474,7548.679,8058.14,11912.22,8839.756,30881.3,34220.3,36037.75,30974.22,
Lower middle income,LMC,Aquaculture production (metric tons),ER.FSH.AQUA.MT,281383,297158,310350,320926,338487,353343,374850,396099,433854,452551,475655,508108,536790,577086,635946,670604,721737,791134,909960,1004843,1148650,1268110,1387756,1548995,1669577,1814767,1919230,2195195,2544551,2761738,2873916,3128472,3425929,3610404,3958504,4323387,4633722,4760726,4951838,5562327,5827582,6434323,6998245.76,7781022.1,9310331.4,10722063.77,11928860.6,13212145.6,15493144.34,16663106.1,19035420.99,21151561.29,23903583.55,28252045.01,30055272.46,31938990.65,33818818.5,
Low & middle income,LMY,Aquaculture production (metric tons),ER.FSH.AQUA.MT,1211271,1058048,1037808,1157492,1306296,1469056,1634998,1669811,1718230,1936298,1982865,2301613,2472281,2412781,2647430,2875501,2974071,3674276,3969673,4042581,4466808,4628877,5006188,5633694,6531604,7484051,8398224,9709470,11328722,12358452,12638656,14008385,16724075.9,19911392.03,22911725,26206689,28774562,28873727,31195673,34205382.02,36400327,38604077.4,41426779.76,44139376.1,48262034.1,51528905.42,54946147.89,57976111.89,61910396.48,66022569.22,71072255.92,75569710.08,82366752.37,89635762.55,93323005.66,97515877.67,102195552.7,
Lesotho,LSO,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,27,22,24,27,23,15,19,20,13,23,25,26,30,25,20,15,17,18,18,14,14,14,8,4,8,8,8,4,2,1,2,131,91,107.6,300.4,300.37,400.37,500.43,900.53,1001,1050,
